animal,country,id,path,value,x,y
connection,Philippines,Philippines,2,0.18,0.1484639492593427,-0.6479456188773846
connection,Philippines,Philippines,3,0.18,0.14897820747258517,-0.6526871436980132
connection,Philippines,Philippines,4,0.18,0.14922680284742862,-0.6574885513124533
connection,Philippines,Philippines,5,0.18,0.14910217501869072,-0.6623730599070046
connection,Philippines,Philippines,6,0.18,0.14847581445956837,-0.6673672394143719
connection,Philippines,Philippines,7,0.18,0.14721748480955466,-0.6724957679217912
connection,Philippines,Philippines,8,0.18,0.14523613573333405,-0.6777715927311055
connection,Philippines,Philippines,9,0.18,0.14253916741583783,-0.6831834669137647
connection,Philippines,Philippines,10,0.18,0.1392839680396889,-0.6886879641617029
connection,Philippines,Philippines,11,0.18,0.13577708824819212,-0.6942151434601062
connection,Philippines,Philippines,12,0.18,0.13239602395548355,-0.6996893586856625
connection,Philippines,Philippines,13,0.18,0.12946887219020287,-0.705053483795317
connection,Philippines,Philippines,14,0.18,0.12718621061449054,-0.7102815252523784
connection,Philippines,Philippines,15,0.18,0.1255880949110515,-0.7153756051581532
connection,Philippines,Philippines,16,0.18,0.1246081034222235,-0.7203546145475995
connection,Philippines,Philippines,17,0.18,0.12413103560688521,-0.7252431561784294
connection,Philippines,Philippines,18,0.18,0.12403572178431466,-0.7300646300829643
connection,Philippines,Philippines,19,0.18,0.12421700168178007,-0.7348382890190359
connection,Philippines,Philippines,20,0.18,0.12459253360932432,-0.7395787318256315
connection,Spain,Spain,1,0.25000000000000006,0.01928855347741565,-0.654715932068824
connection,Spain,Spain,2,0.25000000000000006,0.019112109415786005,-0.6613028284188621
connection,Spain,Spain,3,0.25000000000000006,0.018745772289859408,-0.6678948781959821
connection,Spain,Spain,4,0.25000000000000006,0.018103920099471038,-0.6744939244879933
connection,Spain,Spain,5,0.25000000000000006,0.01707399839510093,-0.6811018158579183
connection,Spain,Spain,6,0.25000000000000006,0.015521006009577398,-0.687719613903457
connection,Spain,Spain,7,0.25000000000000006,0.013307304986256652,-0.6943461771299275
connection,Spain,Spain,8,0.25000000000000006,0.01033517291295638,-0.7009764449998491
connection,Spain,Spain,9,0.25000000000000006,0.006608769825958483,-0.707600717696734
connection,Spain,Spain,10,0.25000000000000006,0.0022884091749812985,-0.7142068601488821
connection,Spain,Spain,11,0.25000000000000006,-0.0023094888468218056,-0.7207857737464216
connection,Spain,Spain,12,0.25000000000000006,-0.006793097731107589,-0.7273366990382198
connection,Spain,Spain,13,0.25000000000000006,-0.010820119089427926,-0.7338676070212385
connection,Spain,Spain,14,0.25000000000000006,-0.014189752266513311,-0.7403903533321773
connection,Spain,Spain,15,0.25000000000000006,-0.016856976304970406,-0.746915066515652
connection,Spain,Spain,16,0.25000000000000006,-0.018887574895160797,-0.7534475089289603
connection,Spain,Spain,17,0.25000000000000006,-0.02039868376262588,-0.7599894492378364
connection,Spain,Spain,18,0.25000000000000006,-0.021514446810811716,-0.766540242246196
connection,Spain,Spain,19,0.25000000000000006,-0.022343074611374747,-0.7730982548619872
connection,Spain,Spain,20,0.25000000000000006,-0.022969575133411246,-0.7796617206315766
connection,France,France,1,0.25999999999999995,-0.10881081268547677,-0.6458987591277182
connection,France,France,2,0.25999999999999995,-0.11031276808957724,-0.6525841443795459
connection,France,France,3,0.25999999999999995,-0.11200240549180729,-0.6592374644779003
connection,France,France,4,0.25999999999999995,-0.11396436638157259,-0.6658437703540871
connection,France,France,5,0.25999999999999995,-0.11630986759316997,-0.6723828349610963
connection,France,France,6,0.25999999999999995,-0.11917218136668273,-0.6788292427207258
connection,France,France,7,0.25999999999999995,-0.12268691724118397,-0.6851548629805037
connection,France,France,8,0.25999999999999995,-0.12694983759913148,-0.691335482825731
connection,France,France,9,0.25999999999999995,-0.1319556824123952,-0.6973622322155325
connection,France,France,10,0.25999999999999995,-0.13754501908475736,-0.7032544031405762
connection,France,France,11,0.25999999999999995,-0.1434051041726988,-0.709064873962742
connection,France,France,12,0.25999999999999995,-0.14915014690005624,-0.7148695779357833
connection,France,France,13,0.25999999999999995,-0.15444434935044316,-0.7207434439027437
connection,France,France,14,0.25999999999999995,-0.15909167796506574,-0.726737590181538
connection,France,France,15,0.25999999999999995,-0.16304907569405214,-0.7328709522899165
connection,France,France,16,0.25999999999999995,-0.16638184568946113,-0.7391364494078551
connection,France,France,17,0.25999999999999995,-0.16920525459476166,-0.74551297484882
connection,France,France,18,0.25999999999999995,-0.17164116592065626,-0.7519756360766021
connection,France,France,19,0.25999999999999995,-0.1737956840696261,-0.7585016607365108
connection,France,France,20,0.25999999999999995,-0.17575211756892062,-0.7650726718227754
connection,Singapore,Singapore,1,0.21999999999999997,-0.22739897681946686,-0.598238836370107
connection,Singapore,Singapore,2,0.21999999999999997,-0.22979391633742774,-0.6035219965632048
connection,Singapore,Singapore,3,0.21999999999999997,-0.23236120894442014,-0.6087391832563657
connection,Singapore,Singapore,4,0.21999999999999997,-0.23517813518645547,-0.6138603145076665
connection,Singapore,Singapore,5,0.21999999999999997,-0.2383459246151578,-0.6188453874524282
connection,Singapore,Singapore,6,0.21999999999999997,-0.24198533269742883,-0.6236454765944881
connection,Singapore,Singapore,7,0.21999999999999997,-0.24621825942879194,-0.6282088624160272
connection,Singapore,Singapore,8,0.21999999999999997,-0.25112896180004873,-0.6324953051424366
connection,Singapore,Singapore,9,0.21999999999999997,-0.25670844100873014,-0.6364983418641039
connection,Singapore,Singapore,10,0.21999999999999997,-0.2628070799661931,-0.6402672364025054
connection,Singapore,Singapore,11,0.21999999999999997,-0.26913729860026403,-0.6439116229841356
connection,Singapore,Singapore,12,0.21999999999999997,-0.2753481925975301,-0.647576127553601
connection,Singapore,Singapore,13,0.21999999999999997,-0.2811374699625162,-0.6513943748378035
connection,Singapore,Singapore,14,0.21999999999999997,-0.28633148988763124,-0.6554507326567578
connection,Singapore,Singapore,15,0.21999999999999997,-0.29089538310448115,-0.6597702430357271
connection,Singapore,Singapore,16,0.21999999999999997,-0.29489145183834176,-0.6643331074213106
connection,Singapore,Singapore,17,0.21999999999999997,-0.29842600623077664,-0.6690971149811233
connection,Singapore,Singapore,18,0.21999999999999997,-0.30161034196211745,-0.6740154691036577
connection,Singapore,Singapore,19,0.21999999999999997,-0.3045408663604994,-0.679046514014777
connection,Singapore,Singapore,20,0.21999999999999997,-0.30729302276077175,-0.6841571443481006
connection,New Zealand,New Zealand,1,0.24,-0.33974017647328614,-0.54238050526351
connection,New Zealand,New Zealand,2,0.24,-0.34339943255501515,-0.5475408016247604
connection,New Zealand,New Zealand,3,0.24,-0.34721560191909173,-0.552602301500182
connection,New Zealand,New Zealand,4,0.24,-0.3512591349372389,-0.5575200933349157
connection,New Zealand,New Zealand,5,0.24,-0.35562230747189605,-0.5622346873685773
connection,New Zealand,New Zealand,6,0.24,-0.3604151342446329,-0.5666738158375589
connection,New Zealand,New Zealand,7,0.24,-0.3657485112892289,-0.5707620351144074
connection,New Zealand,New Zealand,8,0.24,-0.3716987568147476,-0.5744424066028734
connection,New Zealand,New Zealand,9,0.24,-0.37825697172315476,-0.5777094911290729
connection,New Zealand,New Zealand,10,0.24,-0.38528627238949475,-0.5806405152724
connection,New Zealand,New Zealand,11,0.24,-0.392524887286109,-0.583399723853016
connection,New Zealand,New Zealand,12,0.24,-0.3996545656690269,-0.5861988883707979
connection,New Zealand,New Zealand,13,0.24,-0.40640213181874973,-0.5892299024067725
connection,New Zealand,New Zealand,14,0.24,-0.4126113882219816,-0.5926110473066305
connection,New Zealand,New Zealand,15,0.24,-0.4182515675141454,-0.5963747615290722
connection,New Zealand,New Zealand,16,0.24,-0.4233793602933279,-0.6004899203354098
connection,New Zealand,New Zealand,17,0.24,-0.4280908748548391,-0.6048943756029656
connection,New Zealand,New Zealand,18,0.24,-0.4324865344188614,-0.6095202657279466
connection,New Zealand,New Zealand,19,0.24,-0.43665326039171004,-0.6143075934627256
connection,New Zealand,New Zealand,20,0.24,-0.4406590565761501,-0.6192088467208922
connection,Mexico,Mexico,1,0.2899999999999999,-0.4390253516737236,-0.4656787955101278
connection,Mexico,Mexico,2,0.2899999999999999,-0.44452415731053596,-0.47098294620635617
connection,Mexico,Mexico,3,0.2899999999999999,-0.4501591806304197,-0.47615808109107216
connection,Mexico,Mexico,4,0.2899999999999999,-0.4559918785711379,-0.48114534063017655
connection,Mexico,Mexico,5,0.2899999999999999,-0.46210285169838816,-0.48586674574251565
connection,Mexico,Mexico,6,0.2899999999999999,-0.4685883059673426,-0.49022763049889573
connection,Mexico,Mexico,7,0.2899999999999999,-0.47554533367335217,-0.494129373583039
connection,Mexico,Mexico,8,0.2899999999999999,-0.4830409269053888,-0.49749795895769244
connection,Mexico,Mexico,9,0.2899999999999999,-0.49106779098717845,-0.5003271098978549
connection,Mexico,Mexico,10,0.2899999999999999,-0.4995072097109118,-0.502718467629872
connection,Mexico,Mexico,11,0.2899999999999999,-0.5081320716258864,-0.5048862327638698
connection,Mexico,Mexico,12,0.2899999999999999,-0.5166666213697447,-0.5071049147919393
connection,Mexico,Mexico,13,0.2899999999999999,-0.5248745069838274,-0.509621926678171
connection,Mexico,Mexico,14,0.2899999999999999,-0.5326206486549332,-0.5125889648075391
connection,Mexico,Mexico,15,0.2899999999999999,-0.539878158849774,-0.5160471914378412
connection,Mexico,Mexico,16,0.2899999999999999,-0.5466954317283331,-0.5199563876841753
connection,Mexico,Mexico,17,0.2899999999999999,-0.5531547862107944,-0.5242367925137019
connection,Mexico,Mexico,18,0.2899999999999999,-0.5593423241732477,-0.528801447126095
connection,Mexico,Mexico,19,0.2899999999999999,-0.5653326383964146,-0.5335734907335729
connection,Mexico,Mexico,20,0.2899999999999999,-0.5711841476178914,-0.5384920329123011
connection,Italy,Italy,1,0.35,-0.517365286404956,-0.3681822380603359
connection,Italy,Italy,2,0.35,-0.5250785575407653,-0.3732287644688921
connection,Italy,Italy,3,0.35,-0.532900992888201,-0.37812114963451904
